Date,Cours,Type,Effectif
2022-03-16 08:30:00,PY404,TD,10
2022-03-16 10:45:00,PY531,TD,11
2022-03-17 13:45:00,PY421,CM,8
2022-03-18 14:00:00,PY222,TP,15
2022-03-21 08:30:00,PY423,CM,8
2022-03-21 10:45:00,PY421,Partiels,15
2022-03-21 16:00:00,PY421,TD,11
2022-03-22 09:00:00,PY222,TP,10
2022-03-22 13:45:00,PY421,TD,7
2022-03-22 16:00:00,PY531,CM,5
2022-03-23 08:30:00,PY404,TD,6
2022-03-23 10:45:00,PY531,TD,4
2022-03-24 08:30:00,PY215,TP,16
2022-03-24 13:45:00,PY421,CM,8
2022-03-24 18:15:00,PY404,Partiels,16
2022-03-25 14:00:00,PY222,TP,15
2022-03-28 08:30:00,PY423,CM,8
2022-03-28 10:45:00,PY421,CM,11
2022-03-28 13:45:00,PY404,CM,9
2022-03-28 16:00:00,PY421,TD,10
2022-03-29 09:00:00,PY222,TP,12
2022-03-29 13:45:00,PY421,TD,11
2022-03-29 16:00:00,PY531,CM,14
2022-03-30 08:30:00,PY404,TD,10
2022-03-30 10:45:00,PY531,Partiels,15
2022-03-31 13:45,PY421,CM,8
2022-04-01 14:00,PY222,TP,12
2022-04-04 08:30,PY423,TD,6
2022-04-04 10:45,PY421,CM,9
2022-04-04 13:45,PY404,CM,11
2022-04-04 16:00,PY421,TD,9
2022-04-05 09:00,PY222,TP,10
2022-04-05 13:45,PY421,TD,11
2022-04-05 16:00,PY531,CM,11
2022-04-06 08:30,PY404,TD,10
2022-04-06 10:45,PY531,TD,13
2022-04-07 08:30,PY215,TP,16
2022-04-07 13:45,PY421,CM,9
2022-04-08 14:00,PY222,TP,7
2022-04-11 08:30,PY423,CM,8
2022-04-11 10:45,PY421,Partiels,16
2022-04-11 13:45,PY404,CM,14
2022-04-11 16:00,PY421,TD,8
2022-04-12 09:00,PY222,TP,8
2022-04-12 13:45,PY421,TD,7
2022-04-12 16:00,PY531,CM,7
2022-04-13 08:30,PY404,TD,6
2022-04-13 10:45,PY531,TD,10
2022-04-14 13:45,PY421,CM,9
2022-04-14 16:00,PY423,CM,8
2022-04-15 14:00,PY222,TP,8
2022-04-19 13:45,PY421,TD,7
2022-04-19 16:00,PY531,CM,6
2022-04-20 08:30,PY404,TD,6
2022-04-20 10:45,PY531,TD,4
2022-04-21 08:30,PY215,TP,14
2022-04-21 13:45,PY421,CM,7
2022-04-21 16:00,PY423,TD,6
2022-05-09 10:45,PY421,CM,6
2022-05-09 13:45,PY404,CM,7
2022-05-09 16:00,PY421,TD,9
2022-05-10 13:45,PY421,TD,9
2022-05-10 16:00,PY531,Partiels,15
2022-05-11 08:30,PY404,TD,5
2022-05-12 08:30,PY215,TP,15
2022-05-12 16:00,PY404,CM,5
